,city,latitude,longitude,Max Temp,humidity,Feels Like,cloudiness,wind speed,country name,date
150,Madison Heights,42.4859,-83.1052,77.38,80,75.02,100,1.99,United States,2022-08-21 18:07:49-07:00
151,Kyaukse,21.6,96.1333,81.54,76,86.81,100,7.05,Myanmar,2022-08-21 18:07:50-07:00
152,Honningsvåg,70.9821,25.9704,65.95,77,65.86,75,12.66,Norway,2022-08-21 18:07:50-07:00
153,Juazeiro,-9.4117,-40.4986,84.38,45,84.58,75,12.66,Brazil,2022-08-21 18:07:51-07:00
154,Katherine,-14.4667,132.2667,57.52,47,55.18,7,8.05,Australia,2022-08-21 18:07:15-07:00
155,Torbay,47.6666,-52.7314,63.27,80,61.9,67,5.01,Canada,2022-08-21 18:03:21-07:00
156,Santa Isabel Rio Negro,-0.4139,-65.0192,80.46,78,84.9,98,4.5,Brazil,2022-08-21 18:07:51-07:00
157,Sendafa,9.15,39.0333,50.92,93,50.07,100,4.72,Ethiopia,2022-08-21 18:07:52-07:00
158,Vallenar,-28.5708,-70.7581,70.56,44,69.39,42,6.64,Chile,2022-08-21 18:07:53-07:00
159,Fortuna,40.5982,-124.1573,63.52,84,63.36,20,10.36,United States,2022-08-21 18:07:53-07:00
160,Praia,14.9215,-23.5087,81.14,83,87.37,75,11.5,Cabo Verde,2022-08-21 18:07:54-07:00
161,Esso,55.9333,158.7,53.71,99,53.44,100,5.21,Russia,2022-08-21 18:07:54-07:00
162,Los Llanos de Aridane,28.6585,-17.9182,79.12,69,79.12,0,14.97,Spain,2022-08-21 18:04:56-07:00
163,Lüderitz,-26.6481,15.1594,60.62,61,59.25,2,10.54,Namibia,2022-08-21 18:07:55-07:00
164,Guerrero Negro,27.9769,-114.0611,76.39,61,76.59,28,13.11,Mexico,2022-08-21 18:07:55-07:00
165,Vila Franca do Campo,37.7167,-25.4333,73.81,72,74.28,37,2.62,Portugal,2022-08-21 18:07:56-07:00
166,Mushie,-3.0167,16.9,80.8,63,83.21,64,4.74,DR Congo,2022-08-21 18:07:56-07:00
167,Vestmanna,62.1564,-7.1664,47.32,87,40.93,100,16.11,Faeroe Islands,2022-08-21 18:07:57-07:00
168,Klaksvík,62.2266,-6.589,49.12,87,41.41,99,26.06,Faeroe Islands,2022-08-21 18:08:01-07:00
169,Tagbac,7.089,125.1567,71.24,95,72.54,100,0.47,Philippines,2022-08-21 18:08:01-07:00
170,Assiut,27.181,31.1837,95.07,17,91.0,0,8.14,Egypt,2022-08-21 18:08:02-07:00
171,Clyde River,70.4692,-68.5914,43.63,85,43.63,100,2.71,Canada,2022-08-21 18:08:03-07:00
172,Luanda,-8.8368,13.2343,68.7,89,69.46,28,13.15,Angola,2022-08-21 18:08:03-07:00
173,Progreso,21.2833,-89.6667,89.71,65,101.88,17,13.94,Mexico,2022-08-21 18:08:04-07:00
174,Esmeralda,21.8525,-78.1169,90.05,55,97.11,39,14.79,Cuba,2022-08-21 18:08:04-07:00
